spkt,spkid
-3.221733333333333,2019
-3.221733333333333,4708
-3.2217000000000056,4900
-3.2216666666666667,2620
-3.221666666666664,160
-3.221666666666664,4699
-3.2216333333333314,5493
-3.2216333333333296,3448
-3.2215999999999667,2262
-3.221566666666668,3677
-3.221566666666666,2773
-3.2215333333333263,1651
-3.2215000000000025,3631
-3.2215000000000025,4001
-3.2215,83
-3.221499999999999,3100
-3.221466666666668,2413
-3.2214666666666667,5109
-3.2213999999999885,2585
-3.2213666666666683,4635
-3.221333333333334,3660
-3.221333333333334,3845
-3.2213333333333267,1259
-3.2212999999999994,5391
-3.2212999999999994,5567
-3.221266666666665,159
-3.2212333333333305,3547
-3.2211999999999996,1903
-3.2211999999999996,4865
-3.2211666666666687,1351
-3.221166666666665,1196
-3.221166666666665,3656
-3.2211666666666616,5209
-3.2211333333333414,1790
-3.2211333333333343,3853
-3.2211333333333334,1862
-3.2211333333333334,5118
-3.2211333333333325,2774
-3.221100000000007,1788
-3.2210333333333327,3074
-3.221033333333331,2725
-3.2210000000000036,793
-3.2210000000000036,5548
-3.220966666666662,731
-3.2209000000000003,2506
-3.2208666666666588,1256
-3.2208333333333314,1753
-3.2208333333333314,1968
-3.2208333333333314,5407
-3.220799999999997,3956
-3.2207666666666626,3521
-3.2207666666666626,4018
-3.2207333333332144,222
-3.220700000000001,3834
-3.2206999999999937,2747
-3.2206666666666663,3692
-3.2205999999999904,3197
-3.2205666666666666,2646
-3.2205333333333357,2270
-3.2205333333333215,2150
-3.220466666666667,3939
-3.220466666666666,3083
-3.2204333333333324,108
-3.2204333333333253,1947
-3.220366666666667,4860
-3.2203666666666635,1118
-3.2203333333333326,2776
-3.220333333333329,2717
-3.2203,1202
-3.2202999999999804,3589
-3.220233333333333,3662
-3.220233333333333,4885
-3.2201999999999993,2789
-3.2201999999999984,3822
-3.2200666666666695,5351
-3.2200666666666677,3545
-3.2200666666666677,3847
-3.2200666666666664,1858
-3.220066666666666,2797
-3.2200333333333333,2674
-3.219999999999999,2146
-3.21993333333333,2114
-3.2198999999999955,2550
-3.2198333333333333,2645
-3.2198333333333267,2569
-3.2197999999999993,5197
-3.219766666666665,3134
-3.219766666666665,5506
-3.219700000000003,158
-3.219700000000003,1760
-3.2196999999999996,4532
-3.219699999999996,4538
-3.2196666666666687,2072
-3.2196333333333342,3188
-3.2196333333333342,4014
-3.2196,3682
-3.2195666666666654,1630
-3.2195666666666654,2060
-3.2195333333333345,3839
-3.219533333333331,3444
-3.2194666666666762,2576
-3.219466666666648,541
-3.2194333333333383,3655
-3.219433333333333,5481
-3.2194333333333276,5500
-3.2194000000000003,1165
-3.2194000000000003,4705
-3.2193333333333385,3650
-3.2193333333333314,2452
-3.2193333333333314,3404
-3.2193333333333314,4493
-3.21933333333331,28
-3.219300000000004,1405
-3.2192999999999996,2779
-3.2192999999999987,4222
-3.219299999999997,4904
-3.219266666666666,989
-3.2192000000000007,3976
-3.2192000000000007,5439
-3.2191666666666663,2777
-3.219166666666652,758
-3.219133333333332,716
-3.219100000000001,954
-3.219100000000001,5179
-3.219099999999999,3089
-3.2190999999999974,668
-3.219066666666667,5131
-3.2190333333333356,3676
-3.219033333333332,992
-3.2190333333333285,1031
-3.2190000000000083,1638
-3.218999999999994,2127
-3.218966666666688,3733
